timestamp,temperature,relative_humidity,wind_speed,wind_direction
20160426T1800,5.8205285,86.0,3.5455887,336.0375
20160426T1900,5.7205286,89.0,2.1897945,350.5377
20160426T2000,6.9405284,81.0,12.074766,259.69516
20160426T2100,6.3505287,78.0,22.734219,259.04596
20160426T2200,4.8905287,83.0,22.42427,275.52753
20160426T2300,4.3805285,82.0,19.08,301.8908
20160427T0000,3.4605286,82.0,22.461807,291.6309
20160427T0100,2.7505286,86.0,16.923828,271.21887
20160427T0200,2.3505285,89.0,17.654688,272.3373
20160427T0300,1.9205287,89.0,15.03835,258.95908
20160427T0400,1.8105286,89.0,16.299694,263.65982
20160427T0500,1.4505286,88.0,16.09969,259.69516
20160427T0600,1.3405286,89.0,16.299694,263.65982
20160427T0700,1.5005287,88.0,19.083395,271.08093
20160427T0800,2.0505285,83.0,22.366402,266.30862
20160427T0900,3.3005285,73.0,31.012281,260.64703
20160427T1000,4.5605288,65.0,34.979332,261.11935
20160427T1100,5.5305285,60.0,36.65995,262.66562
20160427T1200,6.1505284,57.0,39.875587,263.25995
20160427T1300,6.7405286,55.0,40.192837,263.82983
20160427T1400,6.5705285,55.0,39.640884,267.39746
20160427T1500,6.7505283,54.0,39.70459,265.84036
20160427T1600,7.7005286,51.0,38.60234,266.25702
20160427T1700,7.3605285,51.0,33.549606,266.30862
20160427T1800,8.080529,49.0,31.421213,265.3999
